gameID,Reg,Role,earnings,gold,silver,bronze,s-tier
Chelly,Korea,No_Fixed,3007.0,0,0,1,0
Goku,Brazil,Mid,15551.0,3,5,2,0
Farfetch,Turkey,Support,1000.0,2,0,0,0
Haru,Korea,Jungle,397728.0,4,0,1,2
Nji,Europe,Jungle,12524.0,9,3,0,0
Japone,Turkey,Support,14491.0,1,1,0,0
Lonely,Korea,Top,10708.0,1,0,2,0
Griffon,Russia,Mid,2645.0,0,2,0,0
Valkyrie,Korea,ADC,3452.0,0,1,0,0
Eren,Europe,Mid,4714.0,1,4,0,0
Khan,Korea,Top,444323.0,8,7,1,7
Nuguri,China,Top,262341.0,5,2,1,3
Bini,Korea,ADC,505.0,0,0,0,0
Bin,China,Top,112521.0,2,1,2,0
Kuri,Korea,Support,2526.0,0,0,0,0
TynX,Europe,Jungle,36465.0,5,3,2,0
Palafox,North America,Mid,6200.0,3,1,0,0
FORG1VEN,Europe,ADC,95379.0,1,0,1,0
Winsome,North America,Support,883.0,1,1,0,0
Ben,Korea,Support,193705.0,3,2,2,1
Weiwei,China,Jungle,5805.0,0,0,0,0
iBoy,China,ADC,190136.0,5,1,1,2
JeongHoon,Korea,Support,2857.0,1,0,0,0
Clear,Korea,Top,2090.0,0,1,0,0
Kami,Brazil,No_Fixed,30814.0,3,4,4,0
LvMao,China,Support,188058.0,2,3,4,1
Aegis,Brazil,Jungle,11674.0,3,0,0,0
Baolan,China,Support,684271.0,6,3,4,3
Ryan,Brazil,Jungle,14137.0,1,2,1,0
Beenie,Brazil,ADC,914.0,0,1,0,0
Mask,Korea,Mid,4578.0,0,1,0,0
Sneaky,North America,No_Fixed,303345.0,10,7,0,3
Kadaver,Europe,ADC,3329.0,6,1,1,0
Soligo,North America,Mid,5860.0,3,0,0,0
Samux,Europe,ADC,19115.0,0,2,1,0
Winner,Korea,Jungle,913.0,2,0,0,0
Spooky,Europe,Jungle,12324.0,4,0,0,0
Moojin,Japan,Jungle,82946.0,2,1,1,2
Srtty,North America,Top,3220.0,1,1,1,0
sOAZ,Europe,Coach,446848.0,12,11,2,6
HolyPhoenix,Turkey,ADC,8698.0,6,1,0,0
DuDu,Korea,Top,12447.0,0,0,1,0
Moo,Korea,ADC,4093.0,0,2,0,0
Moo,Korea,ADC,230.0,0,0,0,0
River,PCS,Jungle,50642.0,5,2,1,0
Jezu,Europe,ADC,10811.0,1,0,2,0
