number,name,earnings,gold,silver,bronze,s-tier
2034,Dasher,533.00,0,1,0,0
2034,OdduGi,533.00,0,0,0,0
2036,BetongJocke,530.00,0,0,0,0
2036,Ruf,530.00,0,1,0,0
2038,DarkWings,528.00,0,1,1,0
2039,Safir,520.00,0,0,0,0
2040,Spectral,518.00,1,1,0,0
2041,gyuvee,511.00,2,0,0,0
2041,Focus,511.00,1,0,0,0
2043,Wixxi,510.00,1,1,0,0
2044,Bartiono,508.00,0,0,0,0
2045,Jool,505.00,0,0,0,0
2045,Roamer,505.00,1,2,0,0
2045,Bini,505.00,0,0,0,0
2045,Harp,505.00,0,0,0,0
2049,Betsy,500.00,0,0,0,0
2049,BeNw,500.00,0,0,0,0
2049,ProDelta,500.00,0,2,0,0
2052,EMENES,496.00,2,0,0,0
2052,Drop,496.00,0,0,0,0
2054,Scuro,489.00,0,0,0,0
2055,Dehaste,488.00,2,3,0,0
2056,Dizzy,477.00,0,0,1,0
2056,Lunddorf,477.00,0,2,0,0
2058,Harumi,474.00,0,0,0,0
2059,ThintoN,471.00,0,0,3,0
2060,Galben,468.00,0,0,0,0
2061,Cacah,466.00,1,0,0,0
2062,Jean Mago,463.00,1,1,0,0
2063,PFI,462.00,0,1,1,0
2064,POILK,453.00,0,1,0,0
2064,Denzel,453.00,0,1,0,0
2066,Fizzi,450.00,0,0,0,0
2067,Dipzey,449.00,0,2,0,0
2068,SunSieu,448.00,0,0,0,0
2068,Rowelly,448.00,3,2,1,0
2068,Kiao,448.00,3,2,1,0
2071,Mirmoooo,437.00,0,0,1,0
2072,Julbu,436.00,1,0,0,0
2073,Elusion,434.00,0,0,0,0
2073,Reversed,434.00,0,0,0,0
2075,Aziado,431.00,3,1,0,0
2076,MeLikePanda,428.00,0,1,2,0
2077,Nasser,422.00,0,1,1,0
2077,Nomi,422.00,1,2,0,0
2079,Jonsonny,420.00,0,2,1,0
2079,Gralou,420.00,0,2,0,0
2081,griff,419.00,0,1,0,0
2081,AcceZ,419.00,0,1,0,0
2083,Motroco,412.00,0,0,0,0
2084,Witsyy,411.00,0,1,0,0
2084,Mafab,411.00,0,1,0,0
2084,Stanniez,411.00,0,1,0,0
2084,AlphaCloud,411.00,0,1,0,0
2088,Gaaloul,410.00,0,0,0,0
2088,CptShrimps,410.00,0,1,2,0
2090,LagsAlot,401.00,0,0,0,0
2091,Dodo,400.00,0,0,0,0
2091,Xeno,400.00,0,0,0,0
2091,Cresho,400.00,0,0,0,0
2091,Takeover,400.00,0,1,1,0
2091,Phantoml0rd,400.00,0,0,0,0
2091,TeamLuke,400.00,0,0,0,0
2091,Zihan,400.00,0,0,0,0
2091,Maplestreet,400.00,0,0,0,0
2091,KASAPINA,400.00,0,1,0,0
2100,Lakinther,399.00,1,0,0,0
2101,Rhobalas,398.00,1,0,0,0
2102,Jhinsane,395.00,0,0,0,0
2103,Alexx,392.00,1,1,0,0
2103,Noma,392.00,1,3,2,0
2105,Seb,389.00,0,0,0,0
2106,Haretti,387.00,1,1,2,1
2106,Recap,387.00,0,1,1,0
2106,alleycat,387.00,0,0,1,0
2109,Zzk,386.00,1,1,0,0
2110,RotteBengi,383.00,0,0,1,0
2110,Carlsen,383.00,0,0,1,0
2110,Rylle,383.00,0,0,1,0
2110,Mixsi,383.00,0,0,1,0
2114,Cathrine,369.00,1,1,0,0
2115,Taara,363.00,0,0,0,0
2116,YamatoCannon,360.00,0,0,0,0
2117,Decky,357.00,0,1,0,0
2117,Blaise,357.00,0,0,0,0
2119,Bible,356.00,1,0,0,0
2119,Cavalo,356.00,0,0,0,0
2119,Ravenzin,356.00,0,0,0,0
2119,Yupps,356.00,0,0,0,0
2119,Disamis,356.00,0,0,0,0
2124,AMOUR FAYA,351.00,0,0,0,0
2124,Kamil,351.00,0,2,0,0
2126,Neephesto,349.00,0,0,0,0
2127,Mido,347.00,0,1,0,0
2128,Athyz,340.00,1,0,0,0
2129,Poppy,339.00,0,0,0,0
2130,Hachiman,333.00,0,0,0,0
2131,Redentor,327.00,0,0,0,0
2132,Luana,325.00,0,3,0,0
2133,Naruterador,324.00,0,1,0,0
2134,Rebengga,315.00,1,1,0,0
2135,cowTard,314.00,0,1,0,0
2136,Sky,283.00,0,2,0,0
2137,Zaphyr,280.00,0,1,0,0
2138,Zeussak,276.00,0,1,2,0
2139,Travanques,275.00,0,1,3,0
2140,Hugato,270.00,0,0,0,0
2141,Haze,269.00,0,1,0,0
2142,BAeKHo,264.00,0,1,0,0
2142,MapSSi,264.00,0,1,0,0
2142,Burry,264.00,0,1,0,0
2145,Piwek,261.00,0,0,0,0
2146,Brance,260.00,1,0,0,0
2146,Aithusa,260.00,1,0,0,0
2146,Vitin,260.00,0,0,0,0
2149,Gaboesh,258.00,0,0,0,0
2149,FENZ1,258.00,0,0,0,0
2149,S1d,258.00,0,1,0,0
2152,Ksaez,254.00,0,0,1,0
2153,Merit,251.00,0,1,0,0
2153,Dracxar,251.00,0,1,0,0
2153,Zzanggu,251.00,0,1,0,0
2156,Belgianbeast,250.00,0,0,0,0
2156,Sheepy,250.00,0,0,0,0
2158,Divider,238.00,0,1,0,0
2159,Teh,236.00,0,0,0,0
2159,Sufleks,236.00,0,0,0,0
2161,Silk,234.00,0,0,0,0
2162,KuMaMoTo,232.00,0,0,0,0
2163,Nigelf,231.00,0,0,0,0
2163,Telas,231.00,0,0,0,0
2165,Moo,230.00,0,0,0,0
2166,F4rg,226.00,0,1,3,0
2167,Azra,222.00,1,0,0,0
2168,MrFreezed,221.00,0,0,0,0
2168,Warizar,221.00,0,0,0,0
2170,Imbi,206.00,0,0,0,0
2171,Akabuff,200.00,0,0,0,0
2172,cogcog,184.00,0,2,0,0
2172,Rainbrain,184.00,0,1,0,0
2174,Defflok,183.00,0,0,1,0
2175,WaenA,178.00,0,2,1,0
2176,theblindboy,176.00,0,0,0,0
2177,Poby,173.00,0,1,0,0
2178,Jinsh,168.00,0,0,1,0
2178,Zerost,168.00,1,2,1,0
2178,Awaker,168.00,0,1,1,0
2181,MGX,162.00,0,0,1,0
2182,HW4NG,161.00,0,1,0,0
2183,Eclipse,160.00,0,0,0,0
2183,Revenge,160.00,0,1,0,0
2185,Boukada,150.00,0,0,1,0
2186,Stankie,149.00,0,0,0,0
2186,Titeito,149.00,0,0,0,0
2188,Reedfoo,139.00,0,0,1,0
2189,Soulah,137.00,0,0,0,0
2189,Crit Hero,137.00,0,0,0,0
2191,sorahed,135.00,0,0,0,0
2192,breezyyy,128.00,0,1,0,0
2193,Monarca,119.00,1,0,0,0
2194,Praevius,118.00,0,1,1,0
2194,Crocomux,118.00,0,0,0,0
2196,Skain,116.00,0,0,0,0
2196,Nixerino,116.00,0,0,0,0
2198,BoffeN,114.00,0,1,0,0
2198,Axecitement,114.00,0,0,1,0
2200,Lawi,113.00,0,0,0,0
2200,Small,113.00,0,0,0,0
2202,Infinity,112.00,1,0,0,0
2203,Kortini,109.00,0,0,0,0
2203,Eric,109.00,0,0,0,0
2205,Exyu,100.00,0,1,0,0
2206,Ari,77.00,0,0,0,0
2206,Guigs,77.00,0,0,0,0
2208,Yatsu,74.00,0,0,0,0
2208,Hanor,74.00,0,0,0,0
2210,HongA,71.00,0,0,1,0
2210,Blessing,71.00,0,0,1,0
2212,sLiM5h4dY,68.00,0,1,0,0
2213,Typical,59.00,0,0,0,0
2213,Kourosh,59.00,0,0,0,0
2213,WildStars,59.00,0,0,0,0
2216,TheKat,54.00,0,0,0,0
2216,Saizo,54.00,0,0,0,0
2218,Kio,46.00,0,0,0,0
2218,Pjush,46.00,1,0,0,0
2218,Unlimited,46.00,0,0,0,0
2218,Mazurr,46.00,0,0,0,0
2218,Ravea,46.00,1,0,0,0
2218,Naelynn,46.00,1,0,0,0
2224,Shellkunchik,42.00,0,0,0,0
2225,VISAO,39.00,0,0,0,0
