number,name,earnings,gold,silver,bronze,s-tier
540,TinOwns,24678.00,7,4,0,0
541,Zantins,24486.00,4,0,0,1
542,CandyPanda,24480.00,0,2,2,0
543,Shook,24450.00,1,0,0,1
544,Sleeping,24304.00,5,5,0,0
545,Pilot,24274.00,1,1,1,0
546,WhiteKnight,23949.00,4,1,0,0
546,Benny,23924.00,0,1,2,0
548,De?dly,23916.00,4,6,1,0
549,Kingen,23910.00,1,0,0,1
550,SMILEY,23886.00,3,6,4,0
551,Destiny,23836.00,5,3,1,1
552,Sky,23792.00,1,0,1,1
553,Damonte,23763.00,1,2,2,0
554,Babip,23554.00,5,2,0,1
555,Thaldrin,23477.00,5,0,0,1
556,XiaoXiao,23457.00,0,1,1,0
557,Newbie,23360.00,1,6,4,0
558,Zhuo,23353.00,2,0,0,0
559,Y1han,23228.00,0,1,0,0
560,Skeanz,23148.00,5,6,4,0
561,Riyev,23121.00,4,0,0,1
562,Dreams,23006.00,3,3,0,0
563,Paranoia,22995.00,1,3,1,0
564,Hiiva,22819.00,2,4,0,0
565,Jeskla,22754.00,3,4,0,0
566,Gori,22679.00,2,0,1,1
567,Padden,22577.00,2,0,0,1
568,LirA,22479.00,1,0,1,0
569,Untara,22284.00,0,1,0,0
570,poome,22220.00,4,1,3,0
571,Winds,22200.00,0,1,0,0
572,Archer,22190.00,1,0,1,0
573,Vetheo,22174.00,2,2,1,0
574,Punch,22154.00,1,3,1,0
575,Agurin,22077.00,6,2,1,0
576,Puki Style,22057.00,2,8,4,0
577,Emperor,22044.00,1,1,1,1
578,Goldenglue,22000.00,1,2,1,0
579,Kazu,21989.00,3,1,0,0
580,COLD,21923.00,1,0,1,1
581,SoHwan,21907.00,0,1,0,0
582,Fenix,21890.00,1,2,3,0
583,Yuuki60,21813.00,4,4,4,0
584,Werlyb,21754.00,7,1,0,0
585,Venus,21739.00,0,4,1,0
586,Maxi,21641.00,2,7,0,0
587,VincentVega,21616.00,0,4,0,0
588,EasyLove,21547.00,1,4,0,0
589,Empt2y,21491.00,1,1,0,0
589,Raina,21490.00,1,2,1,0
589,Ace,21490.00,2,2,1,0
592,Ryoma,21455.00,3,3,5,1
593,ocelote,21422.00,0,1,5,0
594,Kirei,21357.00,2,3,3,0
595,kev1n,21270.00,1,0,0,0
596,Xiaobai,21200.00,1,1,0,1
597,Warzone,21151.00,1,0,2,0
598,beishang,21148.00,0,3,2,0
599,Missing,21148.00,1,2,2,0
600,Elk,21148.00,0,2,2,0
600,Naru,20993.00,4,1,1,1
600,Slayder,20973.00,2,1,3,0
603,Tally,20826.00,4,2,3,0
604,Minerva,20795.00,4,5,1,0
605,NoNHoly,20727.00,0,6,1,0
606,Triple,20684.00,5,2,0,1
607,Bean,20625.00,1,3,1,0
608,Matislaw,20611.00,3,7,1,0
609,DiscotEkka,20549.00,0,4,0,0
610,Willer,20536.00,1,1,0,0
611,Exosen,20298.00,5,5,1,0
612,POP,20258.00,5,0,0,0
613,ON,20132.00,1,0,1,0
614,Wendelbo,20055.00,5,4,0,0
615,fredy122,20000.00,0,1,1,0
616,Veritas,19902.00,2,3,0,0
617,Light,19859.00,0,1,0,0
618,Ale,19859.00,0,1,0,0
619,Iwandy,19859.00,0,2,0,0
620,Tay,19808.00,3,2,0,0
621,Saintvicious,19730.00,3,2,3,0
622,Jisu,19634.00,3,3,1,0
623,Chaser,19486.00,0,1,0,0
624,Phrenic,19427.00,3,6,1,0
625,Jirall,19401.00,4,1,3,0
626,Beyond,19352.00,0,2,0,0
627,Dia1,19323.00,0,3,1,0
628,BioPanther,19274.00,4,1,0,1
629,Szygenda,19179.00,4,3,1,0
630,RKR,19158.00,3,0,0,0
631,Taxer,19142.00,9,12,3,0
632,Wako,19122.00,0,1,2,0
633,Samux,19115.00,0,2,1,0
634,Cupcake,19052.00,4,2,5,1
635,Acce,18974.00,1,3,2,0
636,Satorius,18855.00,1,2,2,0
637,Jenax,18816.00,1,5,2,0
